Store_ID,Month,Location_Type,Is_Festival_Month,Parking_Available,Digital_Ad_Spend_K,TV_Ad_Spend_K,Radio_Ad_Spend_K,Print_Ad_Spend_K,Stockout_Rate_pct,Monthly_Sales_K
FM1181,2024-10,Suburban,0,1,18.5,12.4,6.9,6.3,14.4,641.5
FM1182,2024-01,Urban,0,1,54.0,43.0,22.3,17.4,12.2,1254.3
FM1183,2024-11,Metro,0,1,51.0,36.8,11.5,16.5,5.7,1859.6
FM1184,2024-05,Suburban,1,1,21.1,17.9,9.2,8.1,6.3,892.5
FM1185,2024-10,Urban,0,0,24.1,26.2,9.0,11.0,11.9,1329.8
FM1186,2024-04,Urban,0,0,30.5,29.6,13.7,7.9,10.1,1186.3
FM1187,2024-10,Metro,0,1,43.8,49.7,17.5,14.8,2.2,2111.0
FM1188,2024-07,Urban,1,1,32.1,26.0,9.6,10.0,15.8,1233.9
FM1189,2024-11,Metro,0,1,52.2,46.7,11.1,9.1,9.5,1808.8
FM1190,2024-01,Suburban,0,0,18.0,17.6,4.4,3.5,8.8,801.7
FM1191,2024-10,Metro,0,0,56.2,66.2,15.1,10.3,4.0,2296.8
FM1192,2024-04,Metro,0,1,41.9,49.8,19.1,15.4,7.1,1819.7
FM1193,2024-05,Suburban,0,0,19.3,15.0,6.3,7.1,6.3,750.3
FM1194,2024-01,Metro,0,0,55.7,43.4,13.4,16.6,5.2,2000.3
FM1195,2024-12,Metro,0,0,46.8,36.1,19.5,10.7,10.4,1490.4
FM1196,2024-08,Urban,0,1,34.3,30.7,12.3,5.8,8.6,1375.6
FM1197,2024-12,Suburban,0,1,31.8,25.5,10.1,7.2,16.1,801.9
FM1198,2024-07,Metro,1,0,40.8,37.3,22.4,13.5,17.0,1793.8
FM1199,2024-02,Metro,0,1,52.0,51.7,15.7,18.8,4.3,1794.6
FM1200,2024-05,Suburban,1,1,38.6,23.3,14.2,12.0,2.3,1213.5
FM1201,2024-06,Suburban,1,0,17.4,16.2,4.2,6.9,14.2,761.4
FM1202,2024-02,Urban,1,1,27.0,31.4,13.5,11.8,17.9,1332.0
FM1203,2024-12,Metro,1,1,59.5,35.1,24.3,19.9,15.6,1749.9
FM1204,2024-12,Metro,0,1,62.8,49.3,23.9,14.0,0.9,2042.2
FM1205,2024-07,Metro,0,1,47.0,46.3,17.1,6.8,4.9,1865.8
FM1206,2024-08,Metro,0,0,47.8,32.5,17.8,7.3,1.3,1963.1
FM1207,2024-09,Urban,0,0,35.0,34.5,12.2,9.4,14.9,1418.4
FM1208,2024-09,Metro,0,1,74.8,51.1,26.2,13.4,10.7,1716.0
FM1209,2024-01,Urban,0,0,36.5,34.0,15.3,6.5,9.5,1350.2
FM1210,2024-07,Urban,0,1,26.8,23.5,15.8,12.7,10.2,1010.6
FM1211,2024-10,Urban,1,0,34.3,33.3,11.0,5.9,4.9,1457.8
FM1212,2024-10,Metro,0,1,57.3,49.8,11.2,18.9,11.0,1915.9
FM1213,2024-08,Suburban,0,0,31.5,20.7,10.4,9.4,1.0,1161.0
FM1214,2024-11,Urban,0,0,54.0,47.2,14.5,18.0,11.8,1478.1
FM1215,2024-08,Urban,0,1,28.5,31.3,9.7,10.9,13.4,1331.8
FM1216,2024-05,Metro,1,0,58.3,47.3,14.9,11.0,12.3,1575.5
FM1217,2024-06,Metro,0,0,71.5,51.3,24.8,18.6,6.3,1973.1
FM1218,2024-09,Suburban,0,1,24.9,17.9,6.4,4.5,15.0,841.5
FM1219,2024-11,Urban,0,0,39.3,26.4,9.6,14.3,13.0,1179.7
FM1220,2024-03,Metro,0,0,57.9,62.7,13.2,12.6,2.7,1901.5
FM1221,2024-04,Urban,0,0,35.4,31.1,16.3,7.4,3.9,1406.4
FM1222,2024-08,Urban,1,1,27.3,32.7,12.8,10.4,11.6,1285.6
FM1223,2024-10,Suburban,0,1,25.6,26.2,6.8,9.4,5.6,830.9
FM1224,2024-05,Metro,0,0,39.0,45.3,9.7,11.1,2.6,1607.4
FM1225,2024-08,Suburban,0,1,33.0,20.4,10.5,8.8,3.2,1112.7
FM1226,2024-01,Metro,0,1,42.2,35.1,14.2,8.7,3.4,1862.0
FM1227,2024-04,Urban,1,1,30.9,36.1,12.9,10.9,8.9,1250.6
FM1228,2024-12,Urban,1,0,35.3,36.2,11.4,7.1,11.1,1494.0
FM1229,2024-07,Metro,0,1,43.0,38.5,22.3,10.0,3.6,1895.8
FM1230,2024-11,Metro,0,1,40.9,38.2,13.7,8.3,13.0,2039.4
FM1231,2024-03,Urban,0,1,39.5,32.6,15.2,8.5,5.4,1426.5
FM1232,2024-04,Suburban,0,0,20.0,17.6,4.8,4.7,6.0,882.1
FM1233,2024-12,Urban,0,1,31.4,22.2,14.0,7.6,4.4,1454.3
FM1234,2024-12,Suburban,1,0,26.8,23.6,10.9,4.2,14.2,1029.0
FM1235,2024-11,Suburban,0,0,14.4,12.8,6.9,3.1,17.3,611.2
FM1236,2024-04,Urban,0,0,42.1,34.2,12.2,10.0,9.1,1715.6
FM1237,2024-10,Suburban,1,0,24.3,14.5,5.7,3.5,1.2,1022.9
FM1238,2024-06,Metro,1,1,62.0,37.3,23.5,17.4,5.1,2284.2
FM1239,2024-11,Metro,0,0,50.6,44.6,19.7,18.5,3.3,1742.8
FM1240,2024-11,Suburban,0,1,28.7,22.0,7.5,6.8,15.2,872.0
FM1241,2024-06,Suburban,0,0,28.1,24.7,8.9,9.9,2.0,1251.0
FM1242,2024-04,Metro,1,1,57.1,37.3,17.9,8.5,17.4,1774.2
FM1243,2024-12,Urban,0,0,28.3,36.7,15.2,5.1,10.8,1174.6
FM1244,2024-06,Urban,0,0,43.1,35.2,14.4,11.9,9.6,1127.6
FM1245,2024-06,Suburban,0,1,26.1,25.6,9.7,8.5,15.3,918.4
FM1246,2024-08,Urban,0,0,40.7,26.4,14.1,13.1,1.0,1210.8
FM1247,2024-12,Urban,0,1,33.2,27.8,10.0,5.2,14.1,1328.0
FM1248,2024-02,Urban,1,1,26.1,26.4,10.1,11.1,2.5,1253.1
FM1249,2024-12,Urban,0,1,36.3,31.9,8.2,8.5,15.2,1436.5
FM1250,2024-06,Urban,0,1,30.9,24.2,13.0,6.6,9.8,1322.3
FM1251,2024-01,Suburban,1,1,16.2,11.5,5.5,3.0,1.6,903.3
FM1252,2024-04,Urban,0,0,29.8,25.9,10.5,12.7,15.1,929.4
FM1253,2024-06,Metro,0,1,47.6,40.7,14.8,8.0,1.0,1977.6
FM1254,2024-09,Metro,0,0,51.0,41.4,13.6,17.8,2.9,1917.8
FM1255,2024-07,Urban,0,0,37.9,29.7,14.8,12.1,14.5,1266.6
FM1256,2024-02,Suburban,0,0,23.8,15.5,5.5,6.6,8.6,662.4
FM1257,2024-06,Metro,0,1,48.3,50.9,12.8,17.9,15.9,1586.3
FM1258,2024-03,Metro,0,0,41.0,36.3,18.5,16.0,11.6,1536.2
FM1259,2024-04,Urban,0,1,29.3,25.7,10.0,5.8,11.4,1204.1
FM1260,2024-09,Metro,0,0,56.3,48.8,17.4,7.4,5.6,1916.5
FM1261,2024-10,Suburban,1,1,23.8,23.2,7.8,7.0,2.8,1085.6
FM1262,2024-02,Metro,0,0,56.1,43.4,22.8,12.1,17.3,1737.6
FM1263,2024-08,Metro,1,1,59.5,45.5,15.1,8.4,2.3,2063.9
FM1264,2024-06,Suburban,0,1,18.8,21.6,8.5,3.8,9.8,798.7
FM1265,2024-05,Metro,0,0,48.2,39.1,20.7,9.9,5.3,2178.4
FM1266,2024-09,Metro,0,1,35.0,44.5,16.8,6.6,5.1,1776.8
FM1267,2024-03,Metro,0,1,55.9,60.8,20.3,9.2,10.9,1835.0
FM1268,2024-10,Metro,0,0,43.0,30.1,18.0,16.5,14.5,1483.7
FM1269,2024-05,Metro,0,0,47.5,49.0,19.6,12.7,14.1,1978.2
FM1270,2024-02,Metro,0,1,52.1,47.1,16.1,19.7,15.7,1517.9
FM1271,2024-10,Metro,0,1,54.2,53.7,17.9,19.8,5.6,1944.2
FM1272,2024-11,Metro,0,0,55.2,42.7,15.0,8.6,8.7,1975.4
FM1273,2024-07,Urban,0,1,39.3,27.5,9.4,12.7,0.7,1558.9
FM1274,2024-09,Urban,0,1,34.2,29.3,10.6,9.6,13.6,1391.5
FM1275,2024-02,Urban,0,1,28.3,21.2,7.3,9.4,5.8,1219.1
FM1276,2024-05,Metro,0,1,38.2,45.2,15.1,7.4,10.3,1774.2
FM1277,2024-05,Urban,0,0,32.4,33.5,14.0,7.1,3.5,1250.9
FM1278,2024-10,Suburban,0,1,20.0,18.0,8.7,2.9,14.8,918.2
FM1279,2024-05,Suburban,0,1,35.3,29.9,6.6,8.7,14.8,798.8
FM1280,2024-09,Metro,0,1,39.2,44.7,18.4,19.3,15.9,1813.6
FM1281,2024-04,Metro,0,1,45.8,40.8,15.0,14.0,1.3,1920.4
FM1282,2024-08,Metro,1,1,55.0,48.4,10.9,16.1,17.9,1707.3
FM1283,2024-03,Metro,0,0,58.3,51.8,14.4,20.4,4.8,1644.6
FM1284,2024-07,Urban,1,0,39.6,39.4,9.5,12.2,5.9,1476.4
FM1285,2024-01,Urban,0,1,29.9,19.5,7.7,4.1,4.9,1172.4
FM1286,2024-09,Metro,0,1,59.8,49.3,15.9,20.2,5.2,1749.3
FM1287,2024-01,Urban,0,1,35.3,23.3,9.9,7.1,10.2,1065.3
FM1288,2024-12,Urban,0,1,35.9,42.7,15.0,5.7,4.7,1438.4
FM1289,2024-11,Metro,0,0,65.7,52.0,12.0,15.1,7.4,1877.1
FM1290,2024-07,Suburban,1,1,15.0,15.4,4.7,7.1,12.0,811.9
FM1291,2024-11,Metro,0,0,51.3,33.6,10.8,9.1,15.1,1671.9
FM1292,2024-10,Suburban,0,0,22.6,21.8,9.8,7.2,12.6,860.7
FM1293,2024-02,Metro,0,1,41.6,45.0,14.3,8.5,10.9,1842.4
FM1294,2024-09,Suburban,0,0,25.0,23.3,11.2,4.6,3.1,924.8
FM1295,2024-05,Suburban,1,1,33.0,23.7,9.2,5.2,14.8,1016.0
FM1296,2024-11,Suburban,0,1,17.3,19.0,4.1,6.1,1.2,705.3
FM1297,2024-11,Suburban,0,0,17.1,19.1,9.1,7.2,5.1,812.7
FM1298,2024-12,Suburban,1,1,23.0,17.5,5.7,4.0,1.5,744.1
FM1299,2024-06,Urban,1,0,28.3,23.1,7.3,6.2,12.2,1022.5
